Svc,BatteryNode,P_BESS,E_BESS,f1,Annual_Revenue,f2,f3,f4,s_m_PS,s_m_PS_BESS,f5,f5_PS,threshold_peak_demand,P_CB_max,p_1,p_2,p_3,p_4,p_5,Time
PS,bus3072,2000,2000,1103000.0,-6345.000000000001,0.3042924809281337,0.5106236247201454,0.6506398314738878,4310,3272,75.91647331786542,0.436499705854506,1500,2361.604494365001,1.134703196347032,95.26598173515984,3.599315068493151,0,0,19.228934033711752
PS,bus3073,2000,2000,1103000.0,-6345.000000000001,0.3042924908342722,0.5098597259805777,0.4341837641688878,4310,3273,75.93967517401393,0.4363836965737634,1500,2361.6046034752267,1.134703196347032,95.26598173515984,3.599315068493151,0,0,19.394879043102264
PS,bus3074,2000,2000,1103000.0,-6345.000000000001,0.3042924969123545,0.5103676564103419,0.5324189372934323,4310,3273,75.93967517401393,0.4363836965737634,1500,2361.6046034752644,1.134703196347032,95.26598173515984,3.599315068493151,0,0,19.233027760187785
PS,bus3075,2000,2000,1103000.0,-6345.000000000001,0.3042921342121827,0.5207522928515775,0.24085158511898944,4310,3273,75.93967517401393,0.4363836965737634,1500,2361.60460337001,1.134703196347032,95.26598173515984,3.599315068493151,0,0,19.293519103527068
PS,bus3001,750,3000,1327500.0,-6562.5,0.2419770568497891,0.0330625381638132,0.01835733359008236,4310,3561,82.62180974477958,0.4673070448111777,1500,2361.6044977151296,1.4634703196347032,94.55479452054794,3.981735159817352,0,0,19.245732808113097
PS,bus3002,750,3000,1327500.0,-6562.5,0.2419881330952539,0.1976185251788919,0.15047623018502504,4310,3564,82.69141531322506,0.4669590169689503,1500,2361.6045738445628,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.2991428454717
PS,bus3003,750,3000,1327500.0,-6562.5,0.2419881339074258,0.19757329580394,0.0359589390759451,4310,3566,82.73781902552204,0.4667269984074654,1500,2361.6045738445628,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.24747942686081
PS,bus3004,750,3000,1327500.0,-6562.5,0.2419881377322887,0.1976270314194944,0.1497505512575044,4310,3566,82.73781902552204,0.4667269984074654,1500,2361.6046032648023,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.27398015658061
PS,bus3005,750,3000,1327500.0,-6562.5,0.2419920463300121,0.4404452528529767,0.053987678215759304,4310,3569,82.80742459396751,0.4663789705652381,1500,2361.60460337001,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.338022661209106
PS,bus3006,750,3000,1327500.0,-6562.5,0.2419920348533192,0.4408225036321296,0.18144435929407401,4310,3568,82.78422273781902,0.4664949798459805,1500,2361.6044977151514,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.02420123418172
PS,bus3007,750,3000,1327500.0,-6562.5,0.2419920316334076,0.4412383289849753,0.3020041504293088,4310,3569,82.80742459396751,0.4663789705652381,1500,2361.604468189697,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.04064154624939
PS,bus3008,750,3000,1327500.0,-6562.5,0.2419922991143736,0.4513150662072125,0.07016522414944672,4310,3571,82.8538283062645,0.4661469520037531,1500,2361.60449782036,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.067781047026315
PS,bus3015,750,3000,1327500.0,-6562.5,0.2420603612758119,0.4761757012137916,0.08919627802164033,4310,3569,82.80742459396751,0.4663789705652381,1500,2361.604573634133,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.07108695109685
PS,bus3022,750,3000,1327500.0,-6562.5,0.24206082543218,0.4987967360842186,0.10750090413965997,4310,3570,82.830626450116,0.4662629612844957,1500,2361.604497820384,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.30731407403946
PS,bus3030,750,3000,1327500.0,-6562.5,0.2420601340239595,0.5206293630463555,0.13188891783785409,4310,3570,82.830626450116,0.4662629612844957,1500,2361.604497820384,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.16794261932373
PS,bus3031,750,3000,1327500.0,-6562.5,0.2420610803663549,0.536737177893435,0.15924842101328934,4310,3572,82.87703016241299,0.4660309427230107,1500,2361.604494259811,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.13474434216817
PS,bus3032,750,3000,1327500.0,-6562.5,0.2419942258325558,0.5539546817818453,0.187022506834929,4310,3570,82.830626450116,0.4662629612844957,1500,2361.60449782036,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,18.94983328183492
PS,bus3033,750,3000,1327500.0,-6562.5,0.2419950530143192,0.5816710028327,0.21545304878460592,4310,3571,82.8538283062645,0.4661469520037531,1500,2361.604573844579,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,18.93373214006424
PS,bus3034,750,3000,1327500.0,-6562.5,0.2419952129849294,0.6007387631384692,0.2444229552486444,4310,3572,82.87703016241299,0.4660309427230107,1500,2361.604573634113,1.4634703196347032,94.55593607305936,3.980593607305936,0,0,19.011026402314503
