Svc,BatteryNode,P_BESS,E_BESS,Total_Investment,Annual_Revenue,f1,f2,f3,f4,s_m_PS,s_m_PS_BESS,f5,f5_PS,threshold_peak_demand,P_CB_max,p_1,p_2,p_3,p_4,p_5,Time
STK,bus2026,3000,3000,1623600.0,94961.66239067983,21.135955343098956,1.7247632410627305,0.1525962143310637,1.0026976023776326,15507,13372,86.2320242471142,0.5341081043490232,480,820.7068180186563,17.722602739726025,5.473744292237443,14.288812785388128,56.84360730593608,5.671232876712329,23.19268639882405
STK,bus2027,3000,3000,1623600.0,94961.78754516538,21.135919810070572,1.7247611716751556,0.2023401699508369,1.05627628623398,15507,13376,86.25781904946153,0.5339791303372866,480,820.7068181359234,17.722602739726025,5.473744292237443,14.288812785388128,56.84360730593608,5.671232876712329,23.372610020637516
STK,bus2028,3000,3000,1623600.0,94961.80707912277,21.135914264127887,1.724760900542848,0.2152513244040992,0.48952570511920945,15507,13377,86.26426775004836,0.5339468868343524,480,820.7067418812439,17.722602739726025,5.473744292237443,14.288812785388128,56.84360730593608,5.671232876712329,23.3087708791097
STK,bus2029,3000,3000,1623600.0,94961.81403444808,21.13591228942177,1.7247607924762578,0.2203862819177553,0.042618696561965076,15507,13374,86.24492164828787,0.5340436173431549,480,820.7068180132701,17.722602739726025,5.473744292237443,14.288812785388128,56.84360730593608,5.671232876712329,23.219564882914224
STK,bus2030,3000,3000,1623600.0,94961.82066755784,21.135910406197077,1.7247607328727086,0.2248180257137157,-1.0645050596352221,15507,13384,86.30940865415619,0.5337211823138133,480,820.7067887576163,17.722602739726025,5.473744292237443,14.288812785388128,56.84360730593608,5.671232876712329,22.944876865545908
STK,bus2031,3000,3000,1623600.0,94961.82310594917,21.135909713906663,1.7247606906632955,0.2285598897665482,-4.553904270701034,15507,13380,86.28361385180887,0.5338501563255499,480,820.706799635461,17.722602739726025,5.473744292237443,14.288812785388128,56.84360730593608,5.671232876712329,22.83321040471395
STK,bus2032,3000,3000,1623600.0,94961.83233791508,21.135907092834035,1.7247603558631857,0.2209021831605481,1.1176656199653023,15507,13373,86.23847294770104,0.534075860846089,480,820.7068506677933,17.722602739726025,5.473744292237443,14.288812785388128,56.84360730593608,5.671232876712329,22.93762905995051
STK,bus2033,3000,3000,1623600.0,94961.93622379056,21.1358775983468,1.7247588730245775,0.2577245416995414,1.1814648575363091,15507,13374,86.24492164828787,0.5340436173431549,480,820.7068212894686,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,23.035038777192437
STK,bus2034,3000,3000,1623600.0,94961.93762563482,21.13587720034629,1.7247588640164926,0.2587571670084156,1.1811437958529771,15507,13376,86.25781904946153,0.5339791303372866,480,820.706818130458,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.94041802485784
STK,bus2035,3000,3000,1623600.0,94961.98131199474,21.13586479726706,1.7247580266690603,0.2781397158003267,1.2448563211076016,15507,13371,86.22557554652738,0.5341403478519573,480,820.706788874806,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.87960460980733
STK,bus2036,3000,3000,1623600.0,94962.00588109884,21.13585782181006,1.7247574758740232,0.2985903133477873,1.3105466903482912,15507,13385,86.31585735474302,0.5336889388108792,480,820.7067849994922,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.936331224441528
STK,bus2037,3000,3000,1623600.0,94962.03044002404,21.13585084924655,1.7247570496855429,0.3089141724193284,1.376132553130279,15507,13376,86.25781904946153,0.5339791303372866,480,820.7066906019362,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.939869232972462
STK,bus2038,3000,3000,1623600.0,94961.96441258592,21.13586959520966,1.72475704881511,0.3333385211097424,1.444225180625994,15507,13380,86.28361385180887,0.5338501563255499,480,820.7068506623193,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,23.00124591588974
STK,bus2039,3000,3000,1623600.0,94962.16313417064,21.135813175902825,1.7247535033235482,0.4427947438528858,1.4550662279695679,15507,13383,86.30295995356936,0.5337534258167475,480,820.7067092379416,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.895167529582977
STK,bus2040,3000,3000,1623600.0,94962.1886042204,21.13580594468452,1.7247530746780535,0.4468333657211731,1.4546365939937167,15507,13374,86.24492164828787,0.5340436173431549,480,820.7069231716905,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.860423719882967
STK,bus2041,3000,3000,1623600.0,94962.19108846388,21.13580523938156,1.724753061411704,0.4480118332716529,1.4535894480454035,15507,13384,86.30940865415619,0.5337211823138133,480,820.7067417640619,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.9534867088
STK,bus2042,3000,3000,1623600.0,94962.17873834184,21.135808745712016,1.7247531753122811,0.4544741377687679,1.4443294655077832,15507,13381,86.2900625523957,0.5338179128226157,480,820.7068143723496,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.87660934527715
STK,bus2043,3000,3000,1623600.0,94962.25459764437,21.135787208466883,1.7247517527231422,0.5065002388946904,1.4298516558273868,15508,13385,86.31029146247099,0.5337167682722392,480,820.7067093551743,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.82237978776296
STK,bus2044,3000,3000,1623600.0,94962.30859120238,21.135771879155044,1.7247513837910275,0.6234639166750993,1.4114099731543504,15511,13386,86.3000451292631,0.5337679999382787,480,820.7067093493913,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.82237974802653
STK,bus2049,3000,3000,1623600.0,94962.33829234976,21.13576344670929,1.7247509217647103,0.6354320714740602,1.041522043983173,15511,13392,86.33872735478047,0.5335745888106919,480,820.7068143723343,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.79846655925115
STK,bus2050,3000,3000,1623600.0,94962.36254784516,21.135756560341207,1.7247504937467038,0.6445605708661135,0.7292549331877083,15511,13388,86.31293920443555,0.5337035295624165,480,820.7068027947527,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.83709442615509
STK,bus2051,3000,3000,1623600.0,94962.39280932477,21.135747968821484,1.724749986591961,0.6519789383399064,0.4960031607638819,15511,13390,86.32583327960802,0.5336390591865541,480,820.706709349379,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.875433588027956
STK,bus2052,3000,3000,1623600.0,94962.42023137574,21.135740183447083,1.724749545790901,0.6558719632089509,0.49588888762762595,15511,13385,86.29359809167687,0.5338002351262099,480,820.7067093493824,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.792026964823403
STK,bus2053,3000,3000,1623600.0,94962.3930590811,21.13574789791333,1.724749467273234,0.706953760186128,1.187262100251856,15511,13386,86.3000451292631,0.5337679999382787,480,820.706821406659,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.86023726860682
STK,bus2054,3000,3000,1623600.0,94962.39541907946,21.13574722788775,1.7247494019885845,0.71803013930543,-1.6039322522670727,15511,13382,86.27425697891819,0.5338969406900034,480,820.7068505451327,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.826532141367597
STK,bus2055,3000,3000,1623600.0,94962.39647385397,21.135746928427427,1.7247493736874695,0.7265098753496376,-4.795744976603702,15511,13381,86.26780994133196,0.5339291758779344,480,820.70681437832,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.882372279961903
STK,bus2056,3000,3000,1623600.0,94962.3982275204,21.135746430545176,1.7247493232473778,0.7323373858271759,-8.44848938378573,15511,13377,86.24202179098704,0.5340581166296591,480,820.7067093553826,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.888754256566365
STK,bus2057,3000,3000,1623600.0,94962.43715667725,21.13573537819937,1.7247487479502248,0.7813619619701179,1.0892981578837113,15511,13383,86.28070401650442,0.5338647055020722,480,820.7068180132662,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.741263922055563
STK,bus2058,3000,3000,1623600.0,94962.44569288308,21.1357329546932,1.7247489443750854,0.7951920748545983,1.0890131761835224,15511,13389,86.31938624202179,0.5336712943744852,480,820.7068180132794,17.722602739726025,5.473744292237443,14.288812785388128,56.84360730593608,5.671232876712329,22.842641361554463
STK,bus2059,3000,3000,1623600.0,94962.44184270642,21.13573404779317,1.7247486775141343,0.8258849757008558,-2.0097694730160547,15511,13381,86.26780994133196,0.5339291758779344,480,820.7067232694271,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.914346226056416
STK,bus2060,3000,3000,1623600.0,94962.44063595046,21.135734390402128,1.7247486793379327,0.8361940288063504,-4.650876418410281,15511,13384,86.28715105409064,0.533832470314141,480,820.7067995186462,17.72146118721461,5.474885844748859,14.288812785388128,56.84360730593608,5.671232876712329,22.815737175941468
STK,bus3001,250,1000,455850.0,40159.502807828205,13.00351728690979,1.822598212779178,-0.0930448230263605,0.004855991434830646,4310,2322,53.874709976798144,0.3612574679977149,1500,2361.604468189697,7.119863013698629,5.86986301369863,2.319634703196347,84.46347031963471,0.2271689497716895,30.98451147079468
STK,bus3002,250,1000,455850.0,40162.20985648753,13.002487577528736,1.8221618991539832,0.025399925330456,0.006006362437896236,4310,2328,54.0139211136891,0.3605614123132601,1500,2361.6046034752267,7.117579908675799,5.8618721461187215,2.318493150684932,84.47488584474885,0.2271689497716895,34.52692537307739
STK,bus3003,250,1000,455850.0,40162.20962118827,13.002487667026026,1.822161901566276,0.0254058096583931,0.00620871669911014,4310,2327,53.9907192575406,0.3606774215940026,1500,2361.604573844563,7.117579908675799,5.8618721461187215,2.318493150684932,84.47488584474885,0.2271689497716895,32.59854629437129
STK,bus3004,250,1000,455850.0,40162.20970621663,13.002487634685046,1.8221618784327969,0.0253453824764288,0.006001815294323642,4310,2329,54.03712296983759,0.3604454030325177,1500,2361.6046034752267,7.117579908675799,5.8618721461187215,2.318493150684932,84.47488584474885,0.2271689497716895,35.085808229446414
STK,bus3005,250,1000,455850.0,40159.99675749522,13.003329387577818,1.8227637692745076,0.1882519217095014,0.007590848073792966,4310,2326,53.96751740139211,0.3607934308747451,1500,2361.604603475269,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,33.5454110344251
STK,bus3006,250,1000,455850.0,40159.99808126947,13.003328884017948,1.8227636278425163,0.1884089477617803,0.0075565274294160534,4310,2328,54.0139211136891,0.3605614123132601,1500,2361.604468189674,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,34.87914911111196
STK,bus3007,250,1000,455850.0,40159.99822311752,13.003328830059363,1.822763607860119,0.188520328658342,0.007522930927535724,4310,2327,53.9907192575406,0.3606774215940026,1500,2361.604573844564,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,33.88575557072957
STK,bus3008,250,1000,455850.0,40160.02082306696,13.003320233109603,1.8227608434687137,0.1979211320958142,0.009247717242155132,4310,2329,54.03712296983759,0.3604454030325177,1500,2361.604603370073,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,34.823323130607605
STK,bus3015,250,1000,455850.0,40159.93644574207,13.003352330028273,1.822766882947307,0.22060781202175,0.011488007736711034,4310,2328,54.0139211136891,0.3605614123132601,1500,2361.6044646290898,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,34.22312980890274
STK,bus3022,250,1000,455850.0,40159.95380485179,13.003345726656292,1.8227685161510456,0.2411647167742789,0.015412289533958446,4310,2328,54.0139211136891,0.3605614123132601,1500,2361.604603370073,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,34.689356633027394
STK,bus3030,250,1000,455850.0,40159.988545125605,13.003332511540046,1.822764475430251,0.2622978571386925,0.01876324047002783,4310,2328,54.0139211136891,0.3605614123132601,1500,2361.604468189697,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,35.338867938518526
STK,bus3031,250,1000,455850.0,40160.01437487647,13.00332268598002,1.8227613673450045,0.2769339409967703,0.04147058672749902,4310,2327,53.9907192575406,0.3606774215940026,1500,2361.6044977151296,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,34.52775809764862
STK,bus3032,250,1000,455850.0,40160.01960342239,13.003320697058316,1.8227599585491905,0.2924541343856525,0.06537150916050195,4310,2328,54.0139211136891,0.3605614123132601,1500,2361.604468189697,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,34.471256868044534
STK,bus3033,250,1000,455850.0,40159.95475275382,13.003345366076344,1.8227661254689416,0.3172516603717204,0.09142253356220625,4310,2327,53.9907192575406,0.3606774215940026,1500,2361.604468189697,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,33.60111728509267
STK,bus3034,250,1000,455850.0,40159.97957963117,13.003335921990285,1.8227631550056504,0.3341972036304633,0.11964059432987806,4310,2327,53.9907192575406,0.3606774215940026,1500,2361.604603370073,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.466880122820537
STK,bus3035,250,1000,455850.0,40159.990029390734,13.003331946929684,1.8227642876683536,0.2630439443733238,0.37904684908181935,4310,2329,54.03712296983759,0.3604454030325177,1500,2361.604603370039,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.53123253186544
STK,bus3036,250,1000,455850.0,40159.993754816365,13.003330529788236,1.8227638078375088,0.2649334827666479,0.6790815726244444,4310,2328,54.0139211136891,0.3605614123132601,1500,2361.6044647342924,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.47824641863505
STK,bus3037,250,1000,455850.0,40159.99509081132,13.003330021579572,1.8227635992897384,0.2659134011815093,0.930593660331382,4310,2327,53.9907192575406,0.3606774215940026,1500,2361.604468189697,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.536561234792075
STK,bus3038,250,1000,455850.0,40159.99809015368,13.003328880638422,1.822763250067012,0.2677059604158258,1.0817850700442342,4310,2329,54.03712296983759,0.3604454030325177,1500,2361.604468189674,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.483603763580323
STK,bus3039,250,1000,455850.0,40159.99973569592,13.003328254678996,1.82276298587665,0.2693812664908914,1.128234053238485,4310,2327,53.9907192575406,0.3606774215940026,1500,2361.604468189697,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.59890670379003
STK,bus3040,250,1000,455850.0,40159.9924100038,13.003331041351128,1.8227640216742649,0.2639773824618696,-0.12740656877148732,4310,2328,54.0139211136891,0.3605614123132601,1500,2361.6046033700377,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.54857188463211
STK,bus3046,250,1000,455850.0,40159.99376700051,13.00333052515342,1.822763809310587,0.2648919189779884,-0.12744621942533277,4310,2328,54.0139211136891,0.3605614123132601,1500,2361.6044977151296,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.599048590660097
STK,bus3047,250,1000,455850.0,40159.99397056524,13.003330447717977,1.8227637923433744,0.2651256793782103,-0.1275049294353379,4310,2327,53.9907192575406,0.3606774215940026,1500,2361.604573844579,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.438106207052865
STK,bus3048,250,1000,455850.0,40159.99460634779,13.003330205868108,1.822763757694059,0.2651509780225188,-0.12747834512594225,4310,2327,53.9907192575406,0.3606774215940026,1500,2361.6044647342924,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.334477750460305
STK,bus3049,250,1000,455850.0,40159.9950031812,13.003330054913816,1.822763690936824,0.2655571101752694,-0.12751902678078952,4310,2327,53.9907192575406,0.3606774215940026,1500,2361.6046034752644,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.37473112742106
STK,bus3050,250,1000,455850.0,40159.99506604211,13.003330031001704,1.822763656856722,0.2658102954075622,-0.12755921610428347,4310,2329,54.03712296983759,0.3604454030325177,1500,2361.6044977151296,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.360844643910728
STK,bus3051,250,1000,455850.0,40159.9954223597,13.003329895459515,1.822763587346514,0.2662136574435598,-0.12762000052391473,4310,2327,53.9907192575406,0.3606774215940026,1500,2361.604573739349,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.390256742636364
STK,bus3052,250,1000,455850.0,40159.99548084507,13.00332987321185,1.8227635833987104,0.2664380257357368,-0.12767790075847532,4310,2327,53.9907192575406,0.3606774215940026,1500,2361.604573747861,7.118721461187215,5.871004566210045,2.319634703196347,84.46347031963471,0.2271689497716895,28.45545851389567
