Svc,BatteryNode,P_BESS,E_BESS,Total_Investment,Annual_Revenue,f1,f2,f3,f4,s_m_PS,s_m_PS_BESS,pct_m_PS,f5_PS,threshold_peak_demand,P_CB_max,p_1,p_2,p_3,p_4,p_5,Time,Total_Investment_n,pct_m_PS_n,f5_PS_n
FR,bus1004,1000,1000,561900.0,48616.97792880065,13.28171323630616,2.545908519028889,-0.0446468717214915,0.28601863613564127,8656,8465,97.793438077634,0.1720541301070156,170,287.5364978501277,0,1.9874429223744288,0,95.9931506849315,2.019406392694064,22.295852065086365,0.09081567116249196,0.867408873045513,0.4791122721040025
FR,bus1005,1000,1000,561900.0,48616.97792880065,13.28171323630616,2.545908519028889,-0.0410333300302753,0.3059305703595397,8656,8465,97.793438077634,0.1720541301070156,170,287.5365301952008,0,1.9874429223744288,0,95.9931506849315,2.019406392694064,22.424865504105885,0.09081567116249196,0.867408873045513,0.4791122721040025
FR,bus1006,1000,1000,561900.0,48616.97792880065,13.28171323630616,2.545908519028889,-0.0294207885971762,0.29909491207724387,8656,8463,97.7703327171904,0.1721696569092337,170,287.53736491245485,0,1.9874429223744288,0,95.9931506849315,2.019406392694064,22.58054755131404,0.09081567116249196,0.8659631915904389,0.47838943137646545
FR,bus1008,1000,1000,561900.0,48616.97792880065,13.28171323630616,2.545908519028889,-0.0235068110130092,0.2580799745686646,8656,8463,97.7703327171904,0.1721696569092337,170,287.53753304789615,0,1.9874429223744288,0,95.9931506849315,2.019406392694064,22.640364571412405,0.09081567116249196,0.8659631915904389,0.47838943137646545
FR,bus1009,1000,1000,561900.0,48616.97792880065,13.28171323630616,2.545908519028889,-0.0102499639537138,0.16459697459436018,8656,8465,97.793438077634,0.1720541301070156,170,287.5378928014872,0,1.9874429223744288,0,95.9931506849315,2.019406392694064,22.461497724056244,0.09081567116249196,0.867408873045513,0.4791122721040025
FR,bus1011,1000,1000,561900.0,48616.97792880065,13.28171323630616,2.545908519028889,-0.0085501676955165,-0.1578065649744293,8656,8462,97.75878003696856,0.1722274203103428,170,287.53787448643635,0,1.9874429223744288,0,95.9931506849315,2.019406392694064,22.57109758059184,0.09081567116249196,0.8652403508628992,0.4780280110126956
FR,bus1012,1000,1000,561900.0,48616.97792880065,13.28171323630616,2.545908519028889,-0.0071160364073584,-1.0648279864203978,8656,8464,97.7818853974122,0.1721118935081246,170,287.5377385926538,0,1.9874429223744288,0,95.9931506849315,2.019406392694064,22.81122870842616,0.09081567116249196,0.8666860323179759,0.47875085174023396
FR,bus1013,1000,1000,561900.0,48616.97792880065,13.28171323630616,2.545908519028889,-0.0005064229633475,-2.5637133358720963,8656,8463,97.7703327171904,0.1721696569092337,170,287.5379252626026,0,1.9874429223744288,0,95.9931506849315,2.019406392694064,19.0186865568161,0.09081567116249196,0.8659631915904389,0.47838943137646545
FR,bus1,500,2000,898250.0,75256.64927646343,13.790628540541512,1.4106157483010129,-0.0646264346571259,0.00010867300851164218,8656,8009,92.52541589648798,0.2947806463314069,170,287.533835528078,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,20.788504656155904,0.37884821237422395,0.5377935012882188,0.45832085683122137
FR,bus1001,500,2000,898250.0,75256.64927646343,13.790628540541512,1.4106157483010129,-0.0646261521280077,0.04336290977283696,8656,8637,99.78049907578558,0.2585052304349189,170,287.53382035483764,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,19.01949294010798,0.37884821237422395,0.9917374781820378,0.6852928452781308
FR,bus1002,500,2000,898250.0,75256.64927646343,13.790628540541512,1.4106157483010129,-0.0804189975573177,0.08682845118764038,8656,8638,99.7920517560074,0.2584474670338099,170,287.5361996287568,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,19.19051564534505,0.37884821237422395,0.9924603189095758,0.6856542656418998
FR,bus1003,500,2000,898250.0,75256.64927646343,13.790628540541512,1.4106157483010129,-0.0789946193284481,0.08669524800559451,8656,8638,99.7920517560074,0.2584474670338099,170,287.5363107673138,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,19.086130475997926,0.37884821237422395,0.9924603189095758,0.6856542656418998
FR,bus1004,500,2000,898250.0,75256.64927646343,13.790628540541512,1.4106157483010129,-0.0734011490348861,0.024134226949550735,8656,8637,99.78049907578558,0.2585052304349189,170,287.53642366204474,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,18.885509570439652,0.37884821237422395,0.9917374781820378,0.6852928452781308
FR,bus1005,500,2000,898250.0,75256.64927646343,13.790628540541512,1.4106157483010129,-0.068226174281085,-0.07831417728452184,8656,8637,99.78049907578558,0.2585052304349189,170,287.5368524018809,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,17.85499330361684,0.37884821237422395,0.9917374781820378,0.6852928452781308
FR,bus1006,500,2000,898250.0,75256.64927646343,13.790628540541512,1.4106157483010129,-0.0513929735170722,-0.24328626926273958,8656,8638,99.7920517560074,0.2584474670338099,170,287.5373781414873,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,18.587254285812374,0.37884821237422395,0.9924603189095758,0.6856542656418998
FR,bus1008,500,2000,898250.0,75256.64927646343,13.790628540541512,1.4106157483010129,-0.0434267109477476,-0.389956713604403,8656,8636,99.76894639556376,0.258562993836028,170,287.53765957313874,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,18.563915971914927,0.37884821237422395,0.991014637454499,0.6849314249143614
FR,bus1009,500,2000,898250.0,75256.64927646343,13.790628540541512,1.4106157483010129,-0.0236795533475176,-0.6108379694865753,8656,8638,99.7920517560074,0.2584474670338099,170,287.5376941922648,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,18.48974287112554,0.37884821237422395,0.9924603189095758,0.6856542656418998
FR,bus1011,500,2000,898250.0,75256.64927646343,13.790628540541512,1.4106157483010129,-0.0211971787526231,-1.121678678543071,8656,8638,99.7920517560074,0.2584474670338099,170,287.5377381350976,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,17.987523313363393,0.37884821237422395,0.9924603189095758,0.6856542656418998
FR,bus1012,500,2000,898250.0,75256.64927646343,13.790628540541512,1.4106157483010129,-0.0191161260923822,-2.4329237521632274,8656,8637,99.78049907578558,0.2585052304349189,170,287.5379686697212,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,17.991143508752188,0.37884821237422395,0.9917374781820378,0.6852928452781308
FR,bus1013,500,2000,898250.0,75256.64927646343,13.790628540541512,1.4106157483010129,-0.0095438076338063,-4.411732180077131,8656,8638,99.7920517560074,0.2584474670338099,170,287.5380009552693,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,17.78905078570048,0.37884821237422395,0.9924603189095758,0.6856542656418998
FR,bus1,1000,2000,1029400.0,98004.17468053862,11.92723931018381,2.338731020465865,-0.0743795137058829,0.00017300378624540423,8660,8027,92.6905311778291,0.3315381740053982,170,287.5338977735803,0,0.273972602739726,0,95.83333333333334,3.8926940639269407,19.07591960032781,0.49115821023335476,0.5481246147442033,0.519641412488779
FR,bus1001,1000,2000,1029400.0,98004.17468053862,11.92723931018381,2.338731020465865,-0.0743790683277451,0.020430760784798746,8660,8636,99.7228637413395,0.2963765111878463,170,287.53371195005855,0,0.273972602739726,0,95.83333333333334,3.8926940639269407,19.004232056935628,0.49115821023335476,0.9881312875593418,0.7396447488963482
FR,bus1002,1000,2000,1029400.0,98004.17468053862,11.92723931018381,2.338731020465865,-0.0571170090747308,0.04071763024002709,8660,8636,99.7228637413395,0.2963765111878463,170,287.54228052616054,0,0.273972602739726,0,95.83333333333334,3.8926940639269407,19.05492328008016,0.49115821023335476,0.9881312875593418,0.7396447488963482
FR,bus1003,1000,2000,1029400.0,98004.17468053862,11.92723931018381,2.338731020465865,-0.0539584453065465,0.0406100835242087,8660,8636,99.7228637413395,0.2963765111878463,170,287.5339563488228,0,0.273972602739726,0,95.83333333333334,3.8926940639269407,22.285532689094545,0.49115821023335476,0.9881312875593418,0.7396447488963482
FR,bus1004,1000,2000,1029400.0,98004.17468053862,11.92723931018381,2.338731020465865,-0.035321469542444,-0.03952348616510208,8660,8636,99.7228637413395,0.2963765111878463,170,287.5433524197829,0,0.273972602739726,0,95.83333333333334,3.8926940639269407,22.98138071298599,0.49115821023335476,0.9881312875593418,0.7396447488963482
